"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSUMAG00000024021"," PDE7B","ENSUMAG00000024021",103663379,"protein_coding","Polar bear","KK498596.1",4.004508,"phosphodiesterase 7B [Source:NCBI gene;Acc:103663379]",39.49,5,205749,1284,1284,NA,NA,12
"ENSUMAG00000015764"," TTLL6","ENSUMAG00000015764",103660651,"protein_coding","Polar bear","KK498511.1",4.024341,"tubulin tyrosine ligase like 6 [Source:NCBI gene;Acc:103660651]",50,2,26778,1558,1558,NA,NA,8
"ENSUMAG00000010286"," NPAS3","ENSUMAG00000010286",103680913,"protein_coding","Polar bear","KK499193.1",4.03556,"neuronal PAS domain protein 3 [Source:NCBI gene;Acc:103680913]",40.17,4,820000,2637,2637,NA,NA,12
"ENSUMAG00000002389"," ATG2B","ENSUMAG00000002389",103673638,"protein_coding","Polar bear","KK498517.1",4.062389,"autophagy related 2B [Source:NCBI gene;Acc:103673638]",40,2,72363,5842,5842,NA,NA,40
"ENSUMAG00000007887"," DBT","ENSUMAG00000007887",103669332,"protein_coding","Polar bear","KK498637.1",4.064317,"dihydrolipoamide branched chain transacylase E2 [Source:NCBI gene;Acc:103669332]",37.47,1,40867,1371,2883,463,1049,10
"ENSUMAG00000001334"," NCOR2","ENSUMAG00000001334",103661248,"protein_coding","Polar bear","KK498575.1",4.09084,"nuclear receptor corepressor 2 [Source:NCBI gene;Acc:103661248]",58.05,4,150562,6674,6674,NA,NA,46
"ENSUMAG00000007893"," LRRC39","ENSUMAG00000007893",103669336,"protein_coding","Polar bear","KK498637.1",4.118547,"leucine rich repeat containing 39 [Source:NCBI gene;Acc:103669336]",36.44,2,19981,960,1276,129,NA,10
"ENSUMAG00000010831"," DUS3L","ENSUMAG00000010831",103681858,"protein_coding","Polar bear","KK499449.1",4.11993,"dihydrouridine synthase 3 like [Source:NCBI gene;Acc:103681858]",65.43,1,4695,1866,1866,NA,NA,13
"ENSUMAG00000010991"," TBC1D14","ENSUMAG00000010991",103676797,"protein_coding","Polar bear","KK498529.1",4.121015,"TBC1 domain family member 14 [Source:NCBI gene;Acc:103676797]",51.86,2,88860,2046,4397,NA,2351,12
"ENSUMAG00000010197"," KLF12","ENSUMAG00000010197",103659161,"protein_coding","Polar bear","KK498556.1",4.167041,"Kruppel like factor 12 [Source:NCBI gene;Acc:103659161]",38.68,1,219564,1206,1206,NA,NA,7
"ENSUMAG00000024537"," STK10","ENSUMAG00000024537",103664779,"protein_coding","Polar bear","KK498603.1",4.180676,"serine/threonine kinase 10 [Source:NCBI gene;Acc:103664779]",48.99,7,105097,2606,2867,230,1367,19
"ENSUMAG00000013238"," FSIP1","ENSUMAG00000013238",103673472,"protein_coding","Polar bear","KK498675.1",4.204475,"fibrous sheath interacting protein 1 [Source:NCBI gene;Acc:103673472]",40.63,2,167960,1456,1456,NA,NA,10
"ENSUMAG00000019844"," RIBC2","ENSUMAG00000019844",103674028,"protein_coding","Polar bear","KK498679.1",4.221412,"RIB43A domain with coiled-coils 2 [Source:NCBI gene;Acc:103674028]",53.11,1,18712,1053,3992,250,2689,7
"ENSUMAG00000003293"," RASSF8","ENSUMAG00000003293",103665250,"protein_coding","Polar bear","KK498606.1",4.223714,"Ras association domain family member 8 [Source:NCBI gene;Acc:103665250]",35.72,1,75901,1260,1727,208,51,5
"ENSUMAG00000011003"," KIAA0232","ENSUMAG00000011003",103677145,"protein_coding","Polar bear","KK498529.1",4.235029,"KIAA0232 ortholog [Source:NCBI gene;Acc:103677145]",48.41,1,46913,4158,4158,NA,NA,8
"ENSUMAG00000005262"," MYH15","ENSUMAG00000005262",103677339,"protein_coding","Polar bear","KK498734.1",4.242791,"myosin heavy chain 15 [Source:NCBI gene;Acc:103677339]",41.27,1,143128,5721,5721,NA,NA,39
"ENSUMAG00000024952"," SLC24A3","ENSUMAG00000024952",103680532,"protein_coding","Polar bear","KK499007.1",4.258198,"solute carrier family 24 member 3 [Source:NCBI gene;Acc:103680532]",44.84,3,188407,1771,1925,67,328,14
"ENSUMAG00000008217"," SLC35A3","ENSUMAG00000008217",103669337,"protein_coding","Polar bear","KK498637.1",4.261766,"solute carrier family 35 member A3 [Source:NCBI gene;Acc:103669337]",35.68,7,21316,873,899,185,NA,7
"ENSUMAG00000009339"," THSD4","ENSUMAG00000009339",103679143,"protein_coding","Polar bear","KK498764.1",4.269836,"thrombospondin type 1 domain containing 4 [Source:NCBI gene;Acc:103679143]",44.4,1,187131,1815,1815,NA,NA,11
"ENSUMAG00000001137"," APBB2","ENSUMAG00000001137",103672690,"protein_coding","Polar bear","KK498665.1",4.281492,"amyloid beta precursor protein binding family B member 2 [Source:NCBI gene;Acc:103672690]",44.72,1,221283,2286,2452,83,NA,15
"ENSUMAG00000022543"," ADCY8","ENSUMAG00000022543",103661704,"protein_coding","Polar bear","KK498580.1",4.291612,"adenylate cyclase 8 [Source:NCBI gene;Acc:103661704]",45.6,2,223999,3296,3296,NA,NA,18
"ENSUMAG00000017815"," RANBP9","ENSUMAG00000017815",103665131,"protein_coding","Polar bear","KK498605.1",4.308543,"RAN binding protein 9 [Source:NCBI gene;Acc:103665131]",38.53,3,78166,1477,1652,105,NA,13
"ENSUMAG00000019525"," ","ENSUMAG00000019525",103659348,"protein_coding","Polar bear","KK498561.1",4.355646,"uncharacterized LOC103659348 [Source:NCBI gene;Acc:103659348]",43.41,3,126935,655,884,242,68,3
"ENSUMAG00000014794"," GABPB1","ENSUMAG00000014794",103676732,"protein_coding","Polar bear","KK498720.1",4.365348,"GA binding protein transcription factor subunit beta 1 [Source:NCBI gene;Acc:103676732]",37.19,1,70553,1152,3082,387,1543,9
"ENSUMAG00000005779"," MOB3B","ENSUMAG00000005779",103667006,"protein_coding","Polar bear","KK498617.1",4.466407,"MOB kinase activator 3B [Source:NCBI gene;Acc:103667006]",43.69,3,139865,684,1418,656,59,4
"ENSUMAG00000018879"," L3MBTL4","ENSUMAG00000018879",103662496,"protein_coding","Polar bear","KK498513.1",4.536915,"L3MBTL histone methyl-lysine binding protein 4 [Source:NCBI gene;Acc:103662496]",41.03,5,335391,1664,1796,107,82,16
"ENSUMAG00000012843"," TEX10","ENSUMAG00000012843",103678516,"protein_coding","Polar bear","KK498754.1",4.545084,"testis expressed 10 [Source:NCBI gene;Acc:103678516]",36.72,2,61446,2750,3840,308,783,14
"ENSUMAG00000002319"," CLCA1","ENSUMAG00000002319",103662947,"protein_coding","Polar bear","KK498594.1",4.54643,"calcium-activated chloride channel regulator 1-like [Source:NCBI gene;Acc:103662947]",39.72,2,27432,2703,2703,NA,NA,14
"ENSUMAG00000015611"," HSD17B12","ENSUMAG00000015611",103672348,"protein_coding","Polar bear","KK498659.1",4.560337,"hydroxysteroid 17-beta dehydrogenase 12 [Source:NCBI gene;Acc:103672348]",39.41,1,151863,939,1158,219,NA,11
"ENSUMAG00000005964"," THSD7B","ENSUMAG00000005964",103667714,"protein_coding","Polar bear","KK498623.1",4.574075,"thrombospondin type 1 domain containing 7B [Source:NCBI gene;Acc:103667714]",38.19,2,696804,3946,3946,NA,NA,22
"ENSUMAG00000003984"," TPRG1","ENSUMAG00000003984",103676026,"protein_coding","Polar bear","KK498707.1",4.577342,"tumor protein p63 regulated 1 [Source:NCBI gene;Acc:103676026]",41.1,2,206782,850,1366,176,244,6
"ENSUMAG00000001933"," RALGPS1","ENSUMAG00000001933",103670314,"protein_coding","Polar bear","KK498643.1",4.604709,"Ral GEF with PH domain and SH3 binding motif 1 [Source:NCBI gene;Acc:103670314]",49.92,2,224102,1701,1701,NA,NA,20
"ENSUMAG00000018887"," C8orf89","ENSUMAG00000018887",103681256,"protein_coding","Polar bear","KK499352.1",4.660233,"chromosome unknown C8orf89 homolog [Source:NCBI gene;Acc:103681256]",37.62,3,22791,574,1021,280,146,6
"ENSUMAG00000017951"," PHACTR1","ENSUMAG00000017951",103665132,"protein_coding","Polar bear","KK498605.1",4.682098,"phosphatase and actin regulator 1 [Source:NCBI gene;Acc:103665132]",45.16,1,283035,1641,1850,104,NA,11
"ENSUMAG00000013770"," ENPP6","ENSUMAG00000013770",103680997,"protein_coding","Polar bear","KK499267.1",4.738799,"ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:NCBI gene;Acc:103680997]",44.81,1,108745,1323,3347,75,1949,8
"ENSUMAG00000010242"," ADAMTSL3","ENSUMAG00000010242",103660287,"protein_coding","Polar bear","KK498567.1",4.758008,"ADAMTS like 3 [Source:NCBI gene;Acc:103660287]",42.86,2,330224,5096,5096,NA,NA,30
"ENSUMAG00000024958"," CFAP61","ENSUMAG00000024958",103680547,"protein_coding","Polar bear","KK499007.1",4.773568,"cilia and flagella associated protein 61 [Source:NCBI gene;Acc:103680547]",41.35,1,285571,3675,3675,NA,NA,25
"ENSUMAG00000018908"," STAU2","ENSUMAG00000018908",103681259,"protein_coding","Polar bear","KK499352.1",4.802506,"staufen double-stranded RNA binding protein 2 [Source:NCBI gene;Acc:103681259]",37.64,9,302874,1582,1819,76,236,12
"ENSUMAG00000012743"," AGAP1","ENSUMAG00000012743",103662834,"protein_coding","Polar bear","KK498593.1",4.821462,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:NCBI gene;Acc:103662834]",49.86,7,346360,2493,2493,NA,NA,18
"ENSUMAG00000005750"," PIR","ENSUMAG00000005750",103668123,"protein_coding","Polar bear","KK498625.1",4.848343,"pirin [Source:NCBI gene;Acc:103668123]",43.6,3,106225,923,1336,207,206,10
"ENSUMAG00000005763"," BMX","ENSUMAG00000005763",103668125,"protein_coding","Polar bear","KK498625.1",4.964733,"BMX non-receptor tyrosine kinase [Source:NCBI gene;Acc:103668125]",43.56,3,48832,1894,2522,154,474,18
"ENSUMAG00000017115"," TNFAIP8L3","ENSUMAG00000017115",NA,"protein_coding","Polar bear","KK498720.1",4.972298,"TNF alpha induced protein 8 like 3 [Source:HGNC Symbol;Acc:HGNC:20620]",47.04,1,5117,678,678,NA,NA,2
"ENSUMAG00000006011"," ACE2","ENSUMAG00000006011",103668146,"protein_coding","Polar bear","KK498625.1",5.015847,"angiotensin I converting enzyme 2 [Source:NCBI gene;Acc:103668146]",41.58,8,44859,2367,2367,NA,NA,19
"ENSUMAG00000012863"," SLC3A1","ENSUMAG00000012863",103671221,"protein_coding","Polar bear","KK498653.1",5.07514,"solute carrier family 3 member 1 [Source:NCBI gene;Acc:103671221]",43.22,1,34322,2046,2245,33,166,10
"ENSUMAG00000008689"," CLTRN","ENSUMAG00000008689",103668127,"protein_coding","Polar bear","KK498625.1",5.079433,"collectrin, amino acid transport regulator [Source:NCBI gene;Acc:103668127]",41.93,1,31593,669,669,NA,NA,6
"ENSUMAG00000019635"," DNAJC24","ENSUMAG00000019635",103659352,"protein_coding","Polar bear","KK498561.1",5.109889,"DnaJ heat shock protein family (Hsp40) member C24 [Source:NCBI gene;Acc:103659352]",36.67,1,64512,450,542,92,NA,4
"ENSUMAG00000020805"," TMEM182","ENSUMAG00000020805",103670632,"protein_coding","Polar bear","KK498647.1",5.116934,"transmembrane protein 182 [Source:NCBI gene;Acc:103670632]",39.26,3,195646,645,2061,304,1111,5
"ENSUMAG00000012059"," VTN","ENSUMAG00000012059",103667232,"protein_coding","Polar bear","KK498618.1",5.162422,"vitronectin [Source:NCBI gene;Acc:103667232]",59.87,1,3112,1413,1794,286,95,8
"ENSUMAG00000008693"," CA5B","ENSUMAG00000008693",NA,"protein_coding","Polar bear","KK498625.1",5.199604,"carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]",41.74,1,18071,861,927,NA,66,6
"ENSUMAG00000020647"," PDGFRL","ENSUMAG00000020647",103681343,"protein_coding","Polar bear","KK499385.1",5.213215,"platelet derived growth factor receptor like [Source:NCBI gene;Acc:103681343]",44.21,1,59517,1128,2002,874,NA,6
"ENSUMAG00000008698"," ZRSR2","ENSUMAG00000008698",NA,"protein_coding","Polar bear","KK498625.1",5.237053,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 [Source:HGNC Symbol;Acc:HGNC:23019]",43.49,1,14183,906,1055,74,NA,6
"ENSUMAG00000024549"," SULF2","ENSUMAG00000024549",103669845,"protein_coding","Polar bear","KK498640.1",5.253445,"sulfatase 2 [Source:NCBI gene;Acc:103669845]",53.86,5,83030,2347,2347,NA,NA,18
"ENSUMAG00000016886"," ARHGAP23","ENSUMAG00000016886",103661183,"protein_coding","Polar bear","KK498511.1",5.257187,"Rho GTPase activating protein 23 [Source:NCBI gene;Acc:103661183]",57.3,1,31743,2982,2982,NA,NA,19
"ENSUMAG00000008706"," AP1S2","ENSUMAG00000008706",NA,"protein_coding","Polar bear","KK498625.1",5.26003,"adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]",36.93,2,19913,477,874,NA,396,4
"ENSUMAG00000005154"," CCDC62","ENSUMAG00000005154",103661143,"protein_coding","Polar bear","KK498575.1",5.329712,"coiled-coil domain containing 62 [Source:NCBI gene;Acc:103661143]",40.91,2,37275,1992,2972,127,426,12
"ENSUMAG00000016695"," RIC1","ENSUMAG00000016695",103663201,"protein_coding","Polar bear","KK498595.1",5.396517,"RIC1 homolog, RAB6A GEF complex partner 1 [Source:NCBI gene;Acc:103663201]",38.11,1,106554,4041,4152,36,75,26
"ENSUMAG00000015112"," PKD1L2","ENSUMAG00000015112",103662086,"protein_coding","Polar bear","KK498586.1",5.405517,"polycystin 1 like 2 [Source:NCBI gene;Acc:103662086]",47.3,1,88489,7302,7302,NA,NA,43
"ENSUMAG00000021132"," DNAH9","ENSUMAG00000021132",103660509,"protein_coding","Polar bear","KK498569.1",5.427209,"dynein axonemal heavy chain 9 [Source:NCBI gene;Acc:103660509]",47.03,3,308291,13226,13226,NA,NA,70
"ENSUMAG00000014769"," SPRED1","ENSUMAG00000014769",103673480,"protein_coding","Polar bear","KK498675.1",5.431386,"sprouty related EVH1 domain containing 1 [Source:NCBI gene;Acc:103673480]",34.9,1,52189,1338,1530,192,NA,6
"ENSUMAG00000025085"," TTC23","ENSUMAG00000025085",103659995,"protein_coding","Polar bear","KK498563.1",5.472694,"tetratricopeptide repeat domain 23 [Source:NCBI gene;Acc:103659995]",43.52,1,93457,1341,1842,140,220,11
"ENSUMAG00000017216"," BPIFC","ENSUMAG00000017216",103676454,"protein_coding","Polar bear","KK498718.1",5.481405,"BPI fold containing family C [Source:NCBI gene;Acc:103676454]",44.26,1,39109,1524,3135,256,1355,16
"ENSUMAG00000020658"," FGL1","ENSUMAG00000020658",103681346,"protein_coding","Polar bear","KK499385.1",5.483928,"fibrinogen like 1 [Source:NCBI gene;Acc:103681346]",38.32,1,28197,939,1255,52,212,8
"ENSUMAG00000008711"," GRPR","ENSUMAG00000008711",103668130,"protein_coding","Polar bear","KK498625.1",5.514446,"gastrin releasing peptide receptor [Source:NCBI gene;Acc:103668130]",42.49,2,33119,1084,2083,NA,998,4
"ENSUMAG00000009815"," FAM110B","ENSUMAG00000009815",103677449,"protein_coding","Polar bear","KK498738.1",5.517722,"family with sequence similarity 110 member B [Source:NCBI gene;Acc:103677449]",59.78,1,1114,906,906,NA,NA,3
"ENSUMAG00000000832"," ELOVL6","ENSUMAG00000000832",103661747,"protein_coding","Polar bear","KK498581.1",5.541051,"ELOVL fatty acid elongase 6 [Source:NCBI gene;Acc:103661747]",40.89,2,123853,894,942,48,NA,4
"ENSUMAG00000020733"," PCM1","ENSUMAG00000020733",103681347,"protein_coding","Polar bear","KK499385.1",5.547298,"pericentriolar material 1 [Source:NCBI gene;Acc:103681347]",35.78,10,70615,6159,6159,NA,NA,38
"ENSUMAG00000016653"," PCLO","ENSUMAG00000016653",103658779,"protein_coding","Polar bear","KK498551.1",5.58862,"piccolo presynaptic cytomatrix protein [Source:NCBI gene;Acc:103658779]",35.54,1,370224,15099,15099,NA,NA,30
"ENSUMAG00000016707"," PDCD1LG2","ENSUMAG00000016707",103663203,"protein_coding","Polar bear","KK498595.1",5.592779,"programmed cell death 1 ligand 2 [Source:NCBI gene;Acc:103663203]",41.93,1,38797,711,1334,623,NA,5
"ENSUMAG00000020019"," MPPED1","ENSUMAG00000020019",103674047,"protein_coding","Polar bear","KK498679.1",5.663541,"metallophosphoesterase domain containing 1 [Source:NCBI gene;Acc:103674047]",54.26,1,57142,969,969,NA,NA,6
"ENSUMAG00000017596"," TMEM40","ENSUMAG00000017596",103669538,"protein_coding","Polar bear","KK498639.1",5.672273,"transmembrane protein 40 [Source:NCBI gene;Acc:103669538]",47.6,1,28234,603,808,35,135,11
"ENSUMAG00000009820"," UBXN2B","ENSUMAG00000009820",103677450,"protein_coding","Polar bear","KK498738.1",5.723024,"UBX domain protein 2B [Source:NCBI gene;Acc:103677450]",36.33,1,24489,993,1010,17,NA,8
"ENSUMAG00000022427"," ZYG11A","ENSUMAG00000022427",103670707,"protein_coding","Polar bear","KK498648.1",5.726252,"zyg-11 family member A, cell cycle regulator [Source:NCBI gene;Acc:103670707]",38.85,1,70484,2271,2271,NA,NA,14
"ENSUMAG00000016128"," PARD3","ENSUMAG00000016128",103656515,"protein_coding","Polar bear","KK499694.1",5.774536,"par-3 family cell polarity regulator [Source:NCBI gene;Acc:103656515]",40.06,5,520841,3803,3954,80,71,23
"ENSUMAG00000004382"," PPP4R4","ENSUMAG00000004382",103673735,"protein_coding","Polar bear","KK498517.1",5.774954,"protein phosphatase 4 regulatory subunit 4 [Source:NCBI gene;Acc:103673735]",37.1,2,98994,2601,2601,NA,NA,24
"ENSUMAG00000017600"," RAF1","ENSUMAG00000017600",103669540,"protein_coding","Polar bear","KK498639.1",5.797512,"Raf-1 proto-oncogene, serine/threonine kinase [Source:NCBI gene;Acc:103669540]",43.36,1,26657,1947,1947,NA,NA,16
"ENSUMAG00000020077"," SCUBE1","ENSUMAG00000020077",103674145,"protein_coding","Polar bear","KK498679.1",5.797577,"signal peptide, CUB domain and EGF like domain containing 1 [Source:NCBI gene;Acc:103674145]",55.8,6,133629,2338,2338,NA,NA,18
"ENSUMAG00000010330"," ","ENSUMAG00000010330",NA,"protein_coding","Polar bear","KK498567.1",5.819306,"",57.84,2,12200,1839,2289,82,286,6
"ENSUMAG00000004572"," PDLIM5","ENSUMAG00000004572",103677907,"protein_coding","Polar bear","KK498743.1",5.825004,"PDZ and LIM domain 5 [Source:NCBI gene;Acc:103677907]",35.13,2,193753,1239,1919,NA,680,10
"ENSUMAG00000013418"," PLXDC2","ENSUMAG00000013418",103664221,"protein_coding","Polar bear","KK498599.1",5.838315,"plexin domain containing 2 [Source:NCBI gene;Acc:103664221]",37.79,1,427726,1677,2474,797,NA,15
"ENSUMAG00000005994"," SNX19","ENSUMAG00000005994",103660678,"protein_coding","Polar bear","KK498571.1",5.847022,"sorting nexin 19 [Source:NCBI gene;Acc:103660678]",43.55,1,48352,3009,4454,445,1000,11
"ENSUMAG00000002579"," LPAR3","ENSUMAG00000002579",103662965,"protein_coding","Polar bear","KK498594.1",5.926167,"lysophosphatidic acid receptor 3 [Source:NCBI gene;Acc:103662965]",44.04,1,49607,1065,1816,NA,751,2
"ENSUMAG00000015261"," PLCG2","ENSUMAG00000015261",103662093,"protein_coding","Polar bear","KK498586.1",5.933266,"phospholipase C gamma 2 [Source:NCBI gene;Acc:103662093]",50.69,1,125479,3576,3576,NA,NA,31
"ENSUMAG00000007493"," LYST","ENSUMAG00000007493",103661900,"protein_coding","Polar bear","KK498582.1",6.052855,"lysosomal trafficking regulator [Source:NCBI gene;Acc:103661900]",37.69,9,157430,9447,9447,NA,NA,44
"ENSUMAG00000002608"," CTBS","ENSUMAG00000002608",103662968,"protein_coding","Polar bear","KK498594.1",6.15952,"chitobiase [Source:NCBI gene;Acc:103662968]",37.97,1,43806,1140,1140,NA,NA,8
"ENSUMAG00000011445"," GAB2","ENSUMAG00000011445",103678081,"protein_coding","Polar bear","KK498744.1",6.160068,"GRB2 associated binding protein 2 [Source:NCBI gene;Acc:103678081]",42.52,1,182332,1923,5205,239,2804,10
"ENSUMAG00000017926"," CDC37L1","ENSUMAG00000017926",103663323,"protein_coding","Polar bear","KK498595.1",6.19999,"cell division cycle 37 like 1 [Source:NCBI gene;Acc:103663323]",37.28,2,23048,934,992,116,NA,7
"ENSUMAG00000015325"," CALN1","ENSUMAG00000015325",NA,"protein_coding","Polar bear","KK498642.1",6.336482,"calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]",43.32,1,237106,597,597,NA,NA,4
"ENSUMAG00000021143"," NRG1","ENSUMAG00000021143",103681358,"protein_coding","Polar bear","KK499385.1",6.354355,"neuregulin 1 [Source:NCBI gene;Acc:103681358]",40.1,2,119810,2080,2708,585,42,8
"ENSUMAG00000018049"," NEDD9","ENSUMAG00000018049",103665136,"protein_coding","Polar bear","KK498605.1",6.369324,"neural precursor cell expressed, developmentally down-regulated 9 [Source:NCBI gene;Acc:103665136]",44.54,2,183965,2529,3944,293,1000,8
"ENSUMAG00000023510"," BORCS7","ENSUMAG00000023510",103681694,"protein_coding","Polar bear","KK498509.1",6.38089,"BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:103681694]",42.66,1,9587,318,636,318,NA,5
"ENSUMAG00000009416"," ","ENSUMAG00000009416",103674668,"protein_coding","Polar bear","KK498685.1",6.416258,"ATP binding cassette subfamily A member 13 [Source:NCBI gene;Acc:103674668]",47.9,3,367835,10192,10192,NA,NA,43
"ENSUMAG00000012780"," CELF2","ENSUMAG00000012780",NA,"protein_coding","Polar bear","KK498709.1",6.421243,"CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]",45.47,5,301984,1477,1477,NA,NA,14
"ENSUMAG00000019906"," RIMS2","ENSUMAG00000019906",103661533,"protein_coding","Polar bear","KK498579.1",6.486277,"regulating synaptic membrane exocytosis 2 [Source:NCBI gene;Acc:103661533]",35.1,4,479505,4441,4441,NA,NA,26
"ENSUMAG00000005175"," ATP8B1","ENSUMAG00000005175",103676123,"protein_coding","Polar bear","KK498527.1",6.533326,"ATPase phospholipid transporting 8B1 [Source:NCBI gene;Acc:103676123]",45.56,8,63506,3521,3521,NA,NA,26
"ENSUMAG00000009183"," SERINC2","ENSUMAG00000009183",103666458,"protein_coding","Polar bear","KK498615.1",6.604598,"serine incorporator 2 [Source:NCBI gene;Acc:103666458]",57.89,2,12687,1112,1450,209,468,8
"ENSUMAG00000013437"," NEBL","ENSUMAG00000013437",103664247,"protein_coding","Polar bear","KK498599.1",6.665885,"nebulette [Source:NCBI gene;Acc:103664247]",38.87,2,71098,1784,1784,NA,NA,16
"ENSUMAG00000004221"," ","ENSUMAG00000004221",103676047,"protein_coding","Polar bear","KK498707.1",6.669816,"adiponectin, C1Q and collagen domain containing [Source:NCBI gene;Acc:103676047]",44.41,3,13169,868,3056,60,2070,4
"ENSUMAG00000018072"," ELOVL2","ENSUMAG00000018072",103664917,"protein_coding","Polar bear","KK498605.1",6.711133,"ELOVL fatty acid elongase 2 [Source:NCBI gene;Acc:103664917]",43.95,1,16136,792,792,NA,NA,7
"ENSUMAG00000018976"," DLGAP1","ENSUMAG00000018976",103664678,"protein_coding","Polar bear","KK498513.1",6.735544,"DLG associated protein 1 [Source:NCBI gene;Acc:103664678]",41.83,5,303829,2311,2311,NA,NA,10
"ENSUMAG00000015706"," CDIN1","ENSUMAG00000015706",103673483,"protein_coding","Polar bear","KK498675.1",6.743715,"chromosome unknown open reading frame, human C15orf41 [Source:NCBI gene;Acc:103673483]",38.97,1,206733,852,1867,NA,1015,11
"ENSUMAG00000015326"," CDH13","ENSUMAG00000015326",103662100,"protein_coding","Polar bear","KK498586.1",6.781952,"cadherin 13 [Source:NCBI gene;Acc:103662100]",43.98,7,828383,1898,2101,166,1084,12
"ENSUMAG00000005595"," ALCAM","ENSUMAG00000005595",103677352,"protein_coding","Polar bear","KK498734.1",6.785108,"activated leukocyte cell adhesion molecule [Source:NCBI gene;Acc:103677352]",36.06,2,205939,1732,2690,161,398,16
"ENSUMAG00000004892"," ITPK1","ENSUMAG00000004892",NA,"protein_coding","Polar bear","KK498517.1",6.79588,"inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]",54.99,2,72612,945,945,NA,NA,10
"ENSUMAG00000004360"," FETUB","ENSUMAG00000004360",103676054,"protein_coding","Polar bear","KK498707.1",6.805902,"fetuin B [Source:NCBI gene;Acc:103676054]",40.87,3,11957,1073,1073,NA,NA,6
"ENSUMAG00000021279"," AXIN2","ENSUMAG00000021279",103665908,"protein_coding","Polar bear","KK498611.1",6.836584,"axin 2 [Source:NCBI gene;Acc:103665908]",56.34,1,26615,2295,2295,NA,NA,11
"ENSUMAG00000004413"," AHSG","ENSUMAG00000004413",103676055,"protein_coding","Polar bear","KK498707.1",6.85608,"alpha 2-HS glycoprotein [Source:NCBI gene;Acc:103676055]",50.89,2,7074,1078,1078,NA,NA,8
"ENSUMAG00000007044"," ","ENSUMAG00000007044",103667757,"protein_coding","Polar bear","KK498624.1",6.863673,"catenin alpha 3 [Source:NCBI gene;Acc:103667757]",35.37,1,760284,1638,1638,NA,NA,11
"ENSUMAG00000011755"," CORO2B","ENSUMAG00000011755",103679148,"protein_coding","Polar bear","KK498764.1",6.876914,"coronin 2B [Source:NCBI gene;Acc:103679148]",52.85,1,61081,1872,3243,42,1329,11
"ENSUMAG00000014478"," SAMSN1","ENSUMAG00000014478",103673042,"protein_coding","Polar bear","KK498671.1",6.89011,"SAM domain, SH3 domain and nuclear localization signals 1 [Source:NCBI gene;Acc:103673042]",37.29,2,130883,1514,2518,116,888,11
"ENSUMAG00000022892"," EPS15","ENSUMAG00000022892",103670725,"protein_coding","Polar bear","KK498648.1",7.020237,"epidermal growth factor receptor pathway substrate 15 [Source:NCBI gene;Acc:103670725]",35.87,10,101097,2566,2634,NA,675,22
"ENSUMAG00000006020"," NTM","ENSUMAG00000006020",103660681,"protein_coding","Polar bear","KK498571.1",7.045604,"neurotrimin [Source:NCBI gene;Acc:103660681]",43.89,2,171404,981,1536,2,553,8
"ENSUMAG00000016857"," CCNY","ENSUMAG00000016857",103656520,"protein_coding","Polar bear","KK499694.1",7.063733,"cyclin Y [Source:NCBI gene;Acc:103656520]",42.56,1,68261,864,1555,70,621,9
"ENSUMAG00000024433"," STX7","ENSUMAG00000024433",103663404,"protein_coding","Polar bear","KK498596.1",7.094253,"syntaxin 7 [Source:NCBI gene;Acc:103663404]",39.96,2,43970,786,1558,95,583,10
"ENSUMAG00000004505"," DGKG","ENSUMAG00000004505",103676060,"protein_coding","Polar bear","KK498707.1",7.100205,"diacylglycerol kinase gamma [Source:NCBI gene;Acc:103676060]",45.89,9,156188,2159,2159,NA,NA,21
"ENSUMAG00000019948"," LRP12","ENSUMAG00000019948",103661647,"protein_coding","Polar bear","KK498579.1",7.145517,"LDL receptor related protein 12 [Source:NCBI gene;Acc:103661647]",35.6,1,19434,2532,2532,NA,NA,6
"ENSUMAG00000013027"," TTC7A","ENSUMAG00000013027",103671239,"protein_coding","Polar bear","KK498653.1",7.418886,"tetratricopeptide repeat protein 7A [Source:NCBI gene;Acc:103671239]",55.34,9,115546,2312,2773,70,2002,19
"ENSUMAG00000003739"," CADM1","ENSUMAG00000003739",103662519,"protein_coding","Polar bear","KK498590.1",7.429505,"cell adhesion molecule 1 [Source:NCBI gene;Acc:103662519]",43.74,4,69378,1123,1749,44,2460,9
"ENSUMAG00000024750"," TENM2","ENSUMAG00000024750",103664791,"protein_coding","Polar bear","KK498603.1",7.517116,"teneurin transmembrane protein 2 [Source:NCBI gene;Acc:103664791]",44.06,5,469748,7739,7739,NA,NA,27
